	1970s	1980s	1990s	2000s	2010s	1970s	1980s	1990s	2000s	2010s	1974-75	1975-76	1976-77	1977-78	1978-79	1979-80	1980-81	1981-82	1982-83	1983-84	1984-85	1985-86	1986-87	1987-88	1988-89	1989-90	1990-91	1991-92	1992-93	1993-94	1994-95	1995-96	1996-97	1997-98	1998-99	1999-2000	2000-01	2001-02	2002-03	2003-04	2004-05	2005-06	2006-07	2007-08	2008-09	2009-10	2010-11	2011-12	2012-13	2013-14	2014-15
 TENNESSEE 	1	1	1	1	1	4.20%	8.50%	6.70%	8.10%	4.00%	-3.20%	13.20%	10.00%	-5.20%	6.20%	8.50%	-3.70%	-0.90%	9.70%	0.10%	22.20%	1.50%	3.60%	23.60%	20.20%	3.60%	15.40%	0.30%	15.50%	-3.00%	20.20%	1.30%	4.30%	-0.20%	9.80%	20.00%	9.00%	12.00%	17.30%	-2.00%	6.10%	13.80%	4.50%	1.20%	-0.50%	-1.90%	29.30%	-16.40%	14.20%	0.50%	-1.50%
 TEXAS 	1	1	1	1	1	8.10%	9.60%	6.50%	5.80%	4.30%	-31.80%	87.80%	18.30%	-14.70%	-19.10%	9.90%	56.40%	7.60%	27.90%	4.30%	1.10%	-3.90%	-24.90%	2.70%	14.60%	1.60%	7.40%	1.10%	7.20%	-2.00%	5.20%	5.40%	13.00%	27.90%	-1.40%	8.40%	2.10%	13.10%	-0.30%	3.80%	-0.20%	21.90%	11.30%	-1.30%	-1.10%	-0.20%	0.30%	5.20%	16.40%	-2.00%	6.40%
 TEXAS A&M 	1	1	1	1	1	17.10%	9.80%	8.40%	8.90%	8.40%	5.30%	66.00%	0.30%	-6.70%	20.50%	7.10%	-2.10%	22.20%	4.70%	50.70%	-2.60%	19.40%	1.00%	-5.50%	3.70%	11.70%	7.00%	8.80%	-0.20%	1.30%	9.30%	19.10%	18.10%	17.90%	-9.10%	14.10%	2.70%	9.50%	-0.70%	27.70%	14.10%	-2.60%	10.00%	9.60%	4.50%	3.80%	-2.80%	-6.40%	41.80%	-0.80%	14.90%
 TEXAS TECH 	0	0	0	1	1	N/A	N/A	N/A	6.80%	3.60%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9.70%	10.10%	7.40%	7.30%	11.40%	0.20%	6.20%	13.20%	2.50%	7.30%	8.60%	3.90%	3.70%	16.90%	-3.00%	5.00%	0.30%	-1.20%
 TORONTO 	1	1	1	1	1	4.90%	7.60%	7.30%	5.70%	2.60%	-10.30%	22.60%	-19.30%	13.80%	17.80%	-1.70%	8.50%	12.30%	9.10%	2.00%	-4.40%	7.50%	10.60%	17.30%	15.30%	6.90%	5.90%	8.60%	3.40%	4.00%	6.60%	3.60%	26.50%	3.10%	4.10%	4.70%	4.20%	2.80%	4.80%	12.60%	9.50%	8.20%	4.70%	15.00%	-9.70%	15.70%	-0.10%	3.50%	3.20%	3.30%	-9.90%
 TULANE 	1	1	1	1	1	9.80%	14.30%	3.80%	7.20%	5.60%	4.10%	10.70%	6.00%	13.00%	15.10%	33.80%	4.30%	8.60%	58.40%	2.10%	4.60%	8.50%	8.90%	3.10%	11.10%	0.30%	18.70%	-5.90%	11.80%	-1.70%	6.60%	5.60%	-5.80%	-0.30%	8.40%	13.90%	7.70%	11.10%	3.90%	4.30%	0.00%	17.60%	4.80%	1.80%	6.80%	7.20%	5.70%	6.90%	2.80%	9.30%	1.70%
 UTAH 	1	1	1	1	1	4.70%	12.30%	9.30%	0.10%	4.50%	-15.60%	26.60%	-8.60%	19.30%	1.80%	10.50%	0.20%	27.40%	9.50%	13.00%	-7.50%	18.70%	-0.40%	41.60%	9.70%	-5.00%	-16.10%	21.50%	15.80%	28.20%	18.10%	2.00%	6.10%	14.40%	7.90%	-1.20%	4.90%	-9.30%	10.40%	-5.20%	3.20%	0.10%	0.70%	5.80%	-8.30%	-8.00%	13.40%	10.50%	6.10%	-1.60%	7.00%
 VANDERBILT 	0	1	1	1	1	N/A	11.60%	8.60%	4.70%	2.50%	N/A	N/A	N/A	N/A	N/A	N/A	15.20%	16.30%	3.70%	12.20%	16.00%	29.20%	5.10%	16.10%	-9.50%	21.70%	3.70%	4.10%	10.20%	1.40%	7.70%	6.20%	6.80%	12.80%	11.20%	0.70%	8.10%	4.90%	5.10%	6.00%	11.70%	6.10%	5.50%	2.50%	-3.30%	2.20%	8.50%	-4.70%	2.40%	-0.20%	7.00%
 VIRGINIA 	1	1	1	1	1	6.40%	8.00%	5.10%	5.30%	1.60%	-7.50%	-12.60%	16.90%	30.80%	4.50%	20.00%	-15.60%	5.30%	7.20%	7.60%	40.00%	3.30%	7.40%	-2.60%	7.30%	18.10%	-2.80%	-0.80%	3.50%	8.80%	18.50%	0.00%	4.40%	-4.90%	5.60%	4.40%	4.90%	1.00%	-3.40%	14.30%	2.70%	-0.40%	7.50%	24.80%	-2.70%	-21.00%	7.10%	-2.80%	1.80%	10.50%	14.00%
 VIRGINIA TECH 	0	1	1	1	1	N/A	100.70%	5.80%	3.10%	4.80%	N/A	N/A	83.80%	4.40%	5.70%	5.80%	-4.20%	14.40%	-90.70%	1040.80%	11.80%	4.90%	33.70%	-4.70%	-5.00%	11.00%	10.10%	21.50%	-1.70%	4.20%	6.50%	0.70%	9.10%	-3.90%	0.50%	-3.00%	5.90%	11.90%	-8.40%	3.20%	-0.10%	24.40%	3.00%	-7.20%	1.60%	17.80%	-0.20%	3.40%	-0.10%	5.40%	2.40%
 WASHINGTON 	1	1	1	1	1	12.70%	10.40%	8.10%	6.10%	1.60%	19.60%	2.90%	20.50%	-5.20%	25.80%	-0.40%	22.60%	-13.30%	44.40%	-18.20%	32.70%	-18.20%	26.80%	10.00%	17.40%	-6.90%	31.80%	-13.60%	29.70%	-11.20%	31.30%	-1.50%	-1.70%	-3.90%	26.90%	4.10%	-20.20%	22.40%	-23.10%	37.80%	14.00%	-6.60%	28.90%	-8.00%	12.10%	-10.90%	-3.10%	6.30%	7.40%	-2.20%	12.10%
 WASHINGTON STATE 	1	1	1	1	1	8.10%	8.40%	6.30%	2.70%	2.20%	0.30%	23.40%	-7.80%	14.20%	10.20%	5.80%	1.00%	15.60%	35.10%	-6.30%	1.70%	10.20%	4.30%	5.20%	11.10%	3.20%	8.80%	-0.30%	1.00%	3.80%	3.30%	10.10%	10.90%	14.90%	7.00%	9.90%	-2.90%	15.30%	-9.20%	-3.60%	9.50%	-2.30%	14.80%	-0.60%	-4.20%	-3.50%	-9.70%	32.20%	-8.70%	5.90%	-3.20%
 WASHINGTON U.-ST. LOUIS 	1	1	1	1	1	8.20%	9.60%	8.00%	6.30%	3.20%	6.80%	19.40%	0.70%	-2.70%	16.80%	7.30%	15.40%	6.70%	4.70%	15.30%	0.80%	8.10%	22.20%	21.80%	-6.40%	19.40%	15.40%	20.50%	1.80%	4.80%	-6.40%	14.20%	0.40%	8.00%	1.70%	4.20%	10.60%	5.90%	9.60%	-1.00%	7.70%	6.80%	3.50%	13.10%	2.50%	-3.90%	-1.00%	3.60%	14.20%	-4.60%	11.00%
 WATERLOO 	0	0	1	1	1	N/A	N/A	2.10%	7.10%	4.00%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15.80%	-4.70%	-3.60%	18.30%	18.00%	12.60%	11.70%	5.50%	-10.70%	4.70%	-4.80%	4.50%	7.90%	-11.30%	0.80%	26.50%	-7.90%	1.80%	3.50%	34.10%	16.40%	-0.20%	-4.10%	10.20%	-9.30%	19.00%	7.70%	6.20%	3.40%	6.20%	-18.30%
 WAYNE STATE 	1	1	1	1	1	3.40%	13.10%	3.60%	4.40%	1.70%	-2.20%	1.80%	2.00%	7.40%	7.90%	9.80%	-4.30%	-1.90%	18.30%	50.30%	3.00%	24.50%	7.10%	11.50%	12.70%	-1.40%	6.20%	0.80%	-3.50%	18.50%	-4.60%	5.10%	1.00%	7.90%	5.90%	-1.60%	10.10%	9.80%	4.10%	0.20%	8.00%	1.90%	6.80%	7.90%	-3.40%	-1.10%	4.80%	2.70%	1.60%	0.60%	1.40%
 WESTERN ONTARIO 	0	1	1	0	0	N/A	7.80%	3.00%	N/A	N/A	N/A	N/A	21.00%	-3.90%	18.20%	-8.50%	19.20%	-4.30%	12.20%	11.10%	18.30%	-14.50%	3.90%	17.10%	23.50%	12.10%	3.40%	-5.00%	5.80%	-8.80%	4.80%	4.00%	15.70%	-0.40%	-1.80%	18.10%	-0.40%	4.40%	14.60%	10.70%	14.50%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 WISCONSIN 	1	1	1	1	1	6.80%	101.10%	5.20%	3.90%	1.90%	9.10%	1.80%	-14.50%	19.00%	18.40%	7.30%	1.60%	17.90%	-89.50%	1050.40%	-1.20%	8.60%	15.00%	-4.70%	5.30%	24.10%	13.20%	0.10%	3.20%	-0.80%	12.10%	-1.00%	5.80%	-4.40%	-0.60%	12.60%	-1.30%	0.80%	14.50%	2.10%	3.20%	5.90%	-2.90%	-2.40%	6.70%	-1.60%	-0.40%	4.10%	5.60%	1.40%	2.50%
 YALE 	1	1	1	1	1	4.70%	10.50%	8.40%	8.40%	-5.30%	-8.90%	3.20%	6.90%	12.20%	9.90%	0.50%	7.00%	2.80%	20.00%	6.70%	12.10%	8.70%	20.40%	37.00%	-9.90%	11.90%	9.20%	5.30%	7.20%	4.60%	3.90%	12.10%	10.70%	11.00%	7.70%	8.40%	7.90%	10.40%	9.40%	10.10%	13.50%	8.70%	0.10%	-1.80%	17.30%	-19.90%	-1.60%	19.70%	6.50%	-1.40%	-35.20%
 YORK 	0	1	1	1	1	N/A	9.10%	3.90%	9.50%	0.50%	N/A	N/A	N/A	N/A	N/A	2.80%	14.30%	-1.70%	14.20%	22.00%	-1.80%	3.20%	14.20%	14.20%	9.30%	6.40%	10.30%	12.10%	-7.00%	4.30%	1.80%	3.00%	7.60%	-1.80%	2.50%	16.90%	5.00%	-2.50%	10.40%	23.80%	11.30%	10.50%	4.70%	22.70%	-8.00%	-1.30%	5.60%	15.50%	1.00%	-8.70%	-9.30%
 Total Institutions by Decade 	82	98	106	109	118	14.10%	12.50%	8.10%	5.50%	3.80%	-1.60%	13.80%	18.20%	11.90%	23.60%	7.20%	10.70%	10.70%	9.00%	27.50%	9.90%	10.50%	20.10%	10.00%	7.40%	18.30%	6.00%	4.90%	5.20%	13.40%	5.90%	5.50%	5.90%	5.50%	17.00%	5.90%	6.90%	6.00%	5.10%	7.20%	4.40%	7.10%	5.00%	6.30%	1.00%	0.90%	3.30%	3.70%	3.40%	2.00%	8.50%
