inam,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87, 1987-88 , 1988-89 , 1989-90 , 1990-91 , 1991-92 , 1992-93 , 1993-94 , 1994-95 , 1995-96 , 1996-97 , 1997-98 , 1998-99 , 1999-2000 ,2000-01, 2001-02 , 2002-03 , 2003-04 , 2004-05 ,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
 MIAMI , N/A , N/A ," $750,409.00 "," $846,759.00 "," $966,887.00 "," $1,165,687.00 "," $1,395,637.00 "," $1,627,409.00 "," $1,598,648.00 "," $1,927,882.00 "," $1,930,878.00 "," $2,155,494.00 "," $2,292,977.00 "," $2,743,730.00 "," $3,138,764.00 "," $3,366,882.00 "," $3,448,585.00 "," $3,788,226.00 "," $4,405,982.00 "," $4,922,300.00 "," $5,007,379.00 "," $5,007,505.00 "," $5,357,772.00 "," $6,002,224.00 "," $5,795,223.00 "," $5,860,424.00 "," $6,707,956.00 "," $7,140,286.00 "," $7,556,841.00 "," $9,081,112.00 "," $10,231,828.00 "," $10,643,708.00 "," $12,025,519.00 "," $13,828,140.00 "," $13,213,588.00 "," $13,694,535.00 "," $13,598,382.00 "," $12,654,327.00 "," $12,950,629.00 "," $13,299,263.00 "," $13,280,160.00 ","$13,759,290.00 "
 MICHIGAN ," $1,786,574.00 "," $1,862,271.00 "," $2,129,487.00 "," $2,426,320.00 "," $2,212,803.00 "," $2,529,438.00 "," $3,185,344.00 "," $3,764,874.00 "," $3,677,902.00 "," $4,268,564.00 "," $4,180,888.00 "," $4,734,897.00 "," $5,459,928.00 "," $6,696,724.00 "," $6,838,655.00 "," $7,080,443.00 "," $7,916,407.00 "," $8,773,596.00 "," $9,152,547.00 "," $9,972,068.00 "," $10,664,110.00 "," $11,425,541.00 "," $12,572,215.00 "," $13,886,446.00 "," $14,258,911.00 "," $15,752,654.00 "," $16,400,899.00 "," $17,740,384.00 "," $18,210,398.00 "," $19,235,775.00 "," $18,785,711.00 "," $20,309,007.00 "," $20,669,495.00 "," $20,521,937.00 "," $20,525,876.00 "," $22,565,018.00 "," $23,002,928.00 "," $24,744,107.00 "," $24,246,756.00 "," $24,708,760.00 "," $25,459,121.00 ","$26,349,878.00 "
 MICHIGAN STATE ," $1,272,209.00 "," $1,141,475.00 "," $1,163,309.00 "," $1,365,252.00 "," $1,531,524.00 "," $1,663,282.00 "," $1,739,402.00 "," $1,848,294.00 "," $2,296,850.00 "," $2,279,658.00 "," $2,431,985.00 "," $2,681,414.00 "," $3,004,109.00 "," $3,369,794.00 "," $3,435,723.00 "," $3,624,934.00 "," $3,842,967.00 "," $4,254,259.00 "," $4,189,261.00 "," $4,650,248.00 "," $4,679,271.00 "," $5,068,222.00 "," $5,531,455.00 "," $5,646,685.00 "," $5,853,308.00 "," $6,184,575.00 "," $6,936,030.00 "," $7,047,505.00 "," $7,599,249.00 "," $8,273,171.00 "," $8,778,721.00 "," $9,487,402.00 "," $9,949,499.00 "," $10,562,324.00 "," $11,267,304.00 "," $11,772,095.00 "," $13,407,332.00 "," $14,389,983.00 "," $15,013,523.00 "," $15,851,193.00 "," $16,308,972.00 ","$17,354,476.00 "
 MINNESOTA ," $1,823,453.00 "," $1,676,061.00 "," $1,914,924.00 "," $1,593,057.00 "," $1,928,757.00 "," $2,062,676.00 "," $2,309,764.00 "," $2,545,691.00 "," $2,781,213.00 "," $3,453,396.00 "," $3,663,283.00 "," $3,570,053.00 "," $4,486,453.00 "," $4,555,790.00 "," $5,319,881.00 "," $5,572,576.00 "," $6,594,558.00 "," $7,952,820.00 "," $6,829,663.00 "," $8,050,829.00 "," $8,065,114.00 "," $8,455,740.00 "," $8,789,784.00 "," $9,510,723.00 "," $9,333,452.00 "," $9,945,563.00 "," $10,371,125.00 "," $9,903,262.00 "," $10,396,547.00 "," $10,831,123.00 "," $11,817,047.00 "," $12,559,689.00 "," $14,157,172.00 "," $15,695,613.00 "," $16,578,284.00 "," $16,999,808.00 "," $17,008,958.00 "," $16,775,684.00 "," $17,556,536.00 "," $17,972,440.00 "," $17,963,662.00 ","$18,657,568.00 "
 MISSOURI ," $1,172,990.00 "," $1,017,496.00 "," $1,174,366.00 "," $1,132,618.00 "," $1,319,475.00 "," $1,404,436.00 "," $1,690,303.00 "," $1,634,221.00 "," $1,873,419.00 "," $2,041,097.00 "," $2,034,687.00 "," $2,146,421.00 "," $4,299,835.00 "," $2,286,117.00 "," $2,483,181.00 "," $2,635,063.00 "," $2,992,691.00 "," $3,507,938.00 "," $3,740,088.00 "," $3,808,746.00 "," $3,767,771.00 "," $4,512,070.00 "," $5,126,482.00 "," $4,712,461.00 "," $4,806,620.00 "," $5,674,581.00 "," $5,829,133.00 "," $5,229,146.00 "," $6,254,768.00 "," $6,527,858.00 "," $6,015,228.00 "," $5,833,439.00 "," $6,462,575.00 "," $8,389,722.00 "," $8,515,580.00 "," $8,459,261.00 "," $9,751,527.00 "," $7,187,080.00 "," $7,619,076.00 "," $10,376,329.00 "," $8,660,675.00 ","$8,609,587.00 "
 MIT ," $769,790.00 "," $760,512.00 "," $781,280.00 "," $853,892.00 "," $922,866.00 "," $1,050,515.00 "," $1,219,275.00 "," $1,335,824.00 "," $1,598,201.00 "," $1,692,225.00 "," $1,733,853.00 "," $1,810,512.00 "," $2,263,528.00 "," $2,466,682.00 "," $2,676,046.00 "," $2,690,928.00 "," $2,683,117.00 "," $3,310,354.00 "," $3,365,671.00 "," $3,527,128.00 "," $3,717,766.00 "," $3,912,593.00 "," $3,637,605.00 "," $4,489,401.00 "," $4,168,581.00 "," $5,149,752.00 "," $5,025,730.00 "," $5,397,537.00 "," $6,042,206.00 "," $6,629,912.00 "," $6,925,699.00 "," $7,140,052.00 "," $7,954,606.00 "," $8,228,345.00 "," $8,886,555.00 "," $9,051,913.00 "," $9,000,247.00 "," $8,333,732.00 "," $9,255,269.00 "," $9,416,771.00 "," $9,876,035.00 ","$10,607,727.00 "
 MONTREAL , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $5,665,692.00 "," $6,413,445.00 "," $6,700,042.00 "," $8,411,747.00 "," $9,517,765.00 "," $10,361,200.45 "," $10,533,596.22 "," $11,294,805.46 "," $12,247,450.93 "," $11,811,474.99 "," $11,825,947.67 "," $14,438,924.98 "," $11,715,663.95 "," $12,510,606.20 ",N/A
 NATL AGRICULTURAL LIB , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $5,162,302.00 "," $4,560,334.00 "," $3,786,097.00 "," $4,125,750.16 "," $4,887,720.00 "," $4,730,082.00 "," $4,109,960.00 "," $4,370,094.00 "," $5,468,996.00 ","$5,360,476.00 "
 NATL ARCHIVES , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $106,000.00 ","$119,000.00 "
 NATL LIB OF MEDICINE , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $8,629,812.00 "," $8,509,160.00 "," $9,053,656.00 "," $9,421,417.00 "," $11,222,291.00 "," $10,516,299.00 "," $11,400,438.00 "," $11,680,517.00 "," $3,166,118.00 ","$25,539,191.00 "
 NATL RES COUNCIL CANADA , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $11,630,036.12 "," $10,442,815.51 "," $11,410,651.42 ", N/A , N/A ," $6,249,143.20 "," $6,775,730.80 ", N/A , N/A ,N/A
 NEBRASKA ," $817,520.00 "," $859,294.00 "," $1,091,880.00 "," $1,275,622.00 "," $1,437,758.00 "," $1,423,331.00 "," $1,541,332.00 "," $1,620,012.00 "," $1,757,449.00 "," $1,712,881.00 "," $1,761,679.00 "," $2,579,096.00 "," $2,553,056.00 "," $2,925,387.00 "," $2,662,785.00 "," $2,954,665.00 "," $2,918,014.00 "," $3,544,196.00 "," $3,705,454.00 "," $3,765,987.00 "," $3,925,855.00 "," $3,945,746.00 "," $4,926,550.00 "," $5,228,962.00 "," $5,151,691.00 "," $5,344,345.00 "," $5,418,677.00 "," $6,029,733.00 "," $5,519,480.00 "," $5,796,104.00 "," $5,758,469.00 "," $6,572,861.00 "," $7,008,885.00 "," $6,226,322.00 "," $7,039,988.00 "," $6,458,844.00 "," $6,797,403.00 "," $7,633,359.00 "," $8,427,924.00 "," $7,988,483.00 "," $8,618,714.00 ","$8,878,520.00 "
 NEW MEXICO , N/A , N/A , N/A , N/A , N/A ," $1,131,000.00 "," $1,176,548.00 "," $1,224,986.00 "," $1,374,232.00 "," $1,430,885.00 "," $1,609,539.00 "," $2,208,927.00 "," $2,705,297.00 "," $2,122,486.00 "," $2,052,641.00 "," $3,470,710.00 "," $3,642,613.00 "," $3,927,931.00 "," $3,208,729.00 "," $4,249,268.00 "," $4,315,339.00 "," $4,237,283.00 "," $4,563,672.00 "," $4,661,974.00 "," $4,942,529.00 "," $5,092,652.00 "," $6,040,676.00 "," $6,301,525.00 "," $5,655,604.00 "," $5,963,385.00 "," $5,869,932.00 "," $5,817,037.00 "," $5,305,708.00 "," $7,081,803.00 "," $8,676,839.00 "," $7,989,009.00 "," $7,160,258.00 "," $7,123,014.00 "," $8,023,334.00 "," $7,748,182.00 "," $9,341,631.00 ","$10,312,298.00 "
 NEW YORK ," $1,198,100.00 "," $1,098,376.00 "," $1,170,477.00 "," $1,422,533.00 "," $1,518,974.00 "," $1,675,404.00 "," $1,823,388.00 "," $2,102,962.00 "," $3,090,301.00 "," $2,632,451.00 "," $3,060,203.00 "," $3,413,364.00 "," $3,513,998.00 "," $4,003,520.00 "," $4,357,534.00 "," $5,158,606.00 "," $4,988,943.00 "," $6,319,788.00 "," $5,976,260.00 "," $6,411,778.00 "," $6,849,538.00 "," $7,229,620.00 "," $7,276,221.00 "," $8,232,214.00 "," $8,859,560.00 "," $9,835,531.00 "," $9,914,991.00 "," $10,907,680.00 "," $12,017,243.00 "," $12,645,171.00 "," $12,749,726.00 "," $14,454,550.00 "," $16,139,134.00 "," $16,402,378.00 "," $16,498,536.00 "," $17,918,458.00 "," $20,461,642.00 "," $21,818,363.00 "," $23,241,030.00 "," $26,238,261.00 "," $27,275,816.00 ","$28,461,040.00 "
 NEW YORK PUBLIC , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $13,705,178.00 "," $14,104,893.00 "," $15,224,911.00 "," $12,658,812.00 "," $10,794,278.00 "," $11,509,038.00 "," $10,933,712.00 "," $10,712,000.00 "," $12,752,000.00 ","$12,113,532.00 "
 NEW YORK STATE , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $3,664,047.00 "," $3,952,799.00 "," $4,270,000.00 "," $3,436,483.00 "," $3,440,316.00 "," $2,265,210.00 "," $2,500,000.00 "," $2,200,000.00 "," $2,139,711.00 ","$2,139,711.00 "
 NORTH CAROLINA ," $1,193,784.00 "," $1,339,862.00 "," $1,513,760.00 "," $1,791,722.00 "," $2,089,588.00 "," $2,489,464.00 "," $2,825,763.00 "," $2,911,063.00 "," $3,520,990.00 "," $3,441,258.00 "," $3,845,460.00 "," $4,222,600.00 "," $4,428,784.00 "," $4,753,550.00 "," $4,845,776.00 "," $4,943,124.00 "," $4,711,478.00 "," $5,273,832.00 "," $5,728,034.00 "," $6,825,338.00 "," $7,446,495.00 "," $7,591,319.00 "," $8,614,336.00 "," $9,484,871.00 "," $8,963,321.00 "," $10,095,066.00 "," $9,605,761.00 "," $10,370,426.00 "," $11,273,318.00 "," $10,929,047.00 "," $11,943,682.00 "," $12,766,914.00 "," $14,039,479.00 "," $14,551,148.00 "," $16,322,573.00 "," $16,167,925.00 "," $16,970,946.00 "," $15,349,985.00 "," $15,372,170.00 "," $18,099,599.00 "," $15,557,364.00 ","$16,925,464.00 "
 NORTH CAROLINA STATE , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $1,990,418.00 "," $2,188,156.00 "," $2,416,359.00 "," $2,658,154.00 "," $2,925,028.00 "," $3,025,434.00 "," $2,887,876.00 "," $3,090,230.00 "," $3,199,698.00 "," $3,439,162.00 "," $4,236,505.00 "," $4,615,933.00 "," $4,673,219.00 "," $5,681,248.00 "," $6,916,560.00 "," $6,875,182.00 "," $7,666,634.00 "," $7,763,882.00 "," $7,870,830.00 "," $7,781,023.00 "," $9,211,644.00 "," $9,709,194.00 "," $8,873,695.00 "," $9,002,518.00 "," $9,090,707.00 "," $9,809,078.00 "," $9,676,210.00 "," $9,782,748.00 "," $11,209,938.00 "," $10,888,415.00 "," $11,091,415.00 "," $10,679,211.00 ","$11,981,112.00 "
 NORTHWESTERN ," $1,427,743.00 "," $1,553,771.00 "," $1,428,675.00 "," $1,413,940.00 "," $1,368,909.00 "," $1,652,746.00 "," $2,065,770.00 "," $2,238,870.00 "," $2,244,989.00 "," $2,476,552.00 "," $2,583,419.00 "," $2,946,886.00 "," $3,422,739.00 "," $3,026,379.00 "," $3,430,831.00 ",," $4,412,226.00 "," $4,684,583.00 "," $5,020,443.00 "," $5,376,092.00 "," $5,520,891.00 "," $5,884,783.00 "," $6,471,391.00 "," $6,973,158.00 "," $7,033,193.00 "," $80,775,665.00 "," $8,398,999.00 "," $9,492,530.00 "," $10,086,037.00 "," $10,749,457.00 "," $11,227,930.00 "," $11,536,325.00 "," $12,165,603.00 "," $12,911,252.00 "," $13,596,926.00 "," $13,900,682.00 "," $13,631,528.00 "," $14,035,157.00 "," $14,485,758.00 "," $14,773,038.00 "," $15,702,473.00 ","$16,226,193.00 "
 NOTRE DAME ," $579,506.00 "," $631,263.00 "," $577,257.00 "," $704,838.00 "," $767,386.00 "," $1,066,090.00 "," $1,201,945.00 "," $1,289,100.00 "," $1,307,972.00 "," $1,452,296.00 "," $1,441,330.00 "," $1,940,222.00 "," $2,178,961.00 "," $2,543,074.00 "," $2,717,118.00 "," $2,971,774.00 "," $3,352,758.00 "," $3,669,338.00 "," $3,868,849.00 "," $3,748,868.00 "," $4,284,425.00 "," $4,554,886.00 "," $6,018,741.00 "," $6,441,101.00 "," $6,291,130.00 "," $6,863,380.00 "," $8,003,175.00 "," $8,582,591.00 "," $8,641,292.00 "," $8,661,702.00 "," $8,456,762.00 "," $8,662,668.00 "," $9,540,297.00 "," $10,496,179.00 "," $11,606,437.00 "," $11,736,827.00 "," $11,837,829.00 "," $12,466,911.00 "," $13,589,145.00 "," $13,611,484.00 "," $13,352,304.00 ","$12,855,465.00 "
 OHIO , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $3,636,202.00 "," $3,679,152.00 "," $4,152,727.00 "," $4,323,513.00 "," $4,406,119.00 "," $4,763,072.00 "," $4,945,186.00 "," $4,738,149.00 "," $5,382,725.00 "," $5,391,032.00 "," $5,327,277.00 "," $5,333,771.00 "," $5,641,009.00 "," $5,464,827.00 "," $5,283,994.00 "," $5,343,700.00 "," $5,424,161.00 "," $5,352,322.00 "," $4,993,681.00 ","$5,490,939.00 "
 OHIO STATE ," $1,468,988.00 "," $1,413,166.00 "," $1,368,653.00 "," $1,630,840.00 "," $1,654,939.00 "," $1,676,993.00 "," $2,612,978.00 "," $2,224,206.00 "," $2,756,128.00 "," $3,989,869.00 "," $4,172,343.00 "," $4,386,886.00 "," $3,906,790.00 "," $4,812,159.00 "," $4,893,616.00 "," $4,823,189.00 "," $5,136,951.00 "," $5,617,786.00 "," $5,974,013.00 "," $6,358,941.00 "," $6,626,478.00 "," $7,334,696.00 "," $7,900,326.00 "," $8,601,351.00 "," $9,166,910.00 "," $10,332,834.00 "," $6,347,417.00 "," $13,065,981.00 "," $11,494,161.00 "," $11,927,635.00 "," $12,621,148.00 "," $8,880,060.00 "," $12,205,939.00 "," $11,448,889.00 "," $13,178,838.00 "," $12,667,516.00 "," $11,954,846.00 "," $14,289,378.00 "," $15,210,554.00 "," $16,270,975.00 "," $18,977,914.00 ","$18,187,920.00 "
 OKLAHOMA ," $637,902.00 "," $801,292.00 "," $977,584.00 "," $889,848.00 "," $1,033,273.00 "," $1,091,606.00 "," $1,580,706.00 "," $1,793,157.00 "," $1,823,880.00 "," $1,927,508.00 "," $1,856,568.00 "," $1,894,874.00 "," $2,229,130.00 "," $2,355,542.00 "," $2,707,432.00 "," $2,826,763.00 "," $3,084,755.00 "," $3,100,546.00 "," $3,775,208.00 "," $3,722,999.00 "," $3,769,255.00 "," $3,933,736.00 "," $4,118,249.00 "," $4,673,416.00 "," $5,283,996.00 "," $5,868,265.00 "," $6,347,417.00 "," $7,544,766.00 "," $8,816,077.00 "," $8,650,451.00 "," $10,392,793.00 "," $11,268,898.00 "," $12,118,386.00 "," $12,966,567.00 "," $14,081,833.00 "," $14,406,308.00 "," $13,952,020.00 "," $14,192,618.00 "," $14,401,185.00 "," $13,486,969.00 "," $14,299,029.00 ","$14,122,222.00 "
 OKLAHOMA STATE ," $513,425.00 "," $476,685.00 "," $666,566.00 "," $748,068.00 "," $614,023.00 "," $631,031.00 "," $735,946.00 "," $1,043,851.00 "," $1,272,485.00 "," $1,515,737.00 "," $1,197,704.00 "," $1,652,902.00 "," $1,493,208.00 "," $1,580,689.00 "," $2,130,280.00 "," $2,465,221.00 "," $2,077,956.00 "," $2,472,184.00 "," $2,430,158.00 "," $2,380,800.00 "," $2,729,135.00 "," $3,777,445.00 "," $3,488,367.00 "," $3,249,580.00 "," $4,107,201.00 "," $4,310,154.00 "," $4,733,758.00 "," $4,533,124.00 "," $5,036,502.00 "," $4,672,696.00 "," $6,172,226.00 "," $6,690,031.00 "," $6,783,316.00 "," $6,713,308.00 "," $6,841,311.00 "," $6,912,637.00 "," $7,074,884.00 "," $7,745,707.00 "," $8,087,574.00 "," $8,307,025.00 "," $8,882,554.00 ","$8,913,802.00 "
 OREGON ," $685,646.00 "," $651,626.00 "," $791,423.00 "," $907,129.00 "," $1,011,350.00 "," $1,381,080.00 "," $1,244,319.00 "," $1,274,319.00 "," $1,726,787.00 "," $2,034,426.00 "," $2,220,282.00 "," $2,312,004.00 "," $2,552,825.00 "," $2,589,515.00 "," $2,934,606.00 "," $3,026,552.00 "," $3,480,379.00 "," $3,631,332.00 "," $3,827,935.00 "," $4,007,845.00 "," $4,512,652.00 "," $4,546,650.00 "," $4,848,267.00 "," $4,751,861.00 "," $5,168,061.00 "," $5,264,739.00 "," $5,680,558.00 "," $5,613,520.00 "," $5,846,473.00 "," $5,717,152.00 "," $5,605,292.00 "," $5,334,251.00 "," $5,135,978.00 "," $6,159,104.00 "," $6,718,280.00 "," $6,387,091.00 "," $6,143,178.00 "," $6,344,426.00 "," $6,604,357.00 "," $6,826,551.00 "," $7,443,692.00 ","$8,298,721.00 "
 OTTAWA , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $11,420,341.99 "," $13,381,982.22 "," $13,237,482.32 "," $15,631,992.83 "," $13,959,114.52 ","$12,918,959.03 "
 PENNSYLVANIA ," $1,328,228.00 "," $1,153,193.00 "," $1,208,893.00 "," $1,306,108.00 "," $1,298,623.00 "," $1,471,368.00 "," $1,769,604.00 "," $2,051,440.00 "," $1,915,557.00 "," $2,108,386.00 "," $2,501,022.00 "," $2,510,010.00 "," $3,104,605.00 "," $3,275,919.00 "," $3,962,283.00 "," $4,266,841.00 "," $4,473,576.00 "," $5,285,553.00 "," $5,722,333.00 "," $6,428,935.00 "," $6,903,926.00 "," $7,277,987.00 "," $8,015,076.00 "," $8,539,721.00 "," $9,160,556.00 "," $9,719,243.00 "," $10,305,052.00 "," $11,100,539.00 "," $11,635,456.00 "," $12,148,736.00 "," $12,782,115.00 "," $13,100,485.00 "," $13,749,248.00 "," $14,426,982.00 "," $15,168,859.00 "," $15,224,637.00 "," $15,547,546.00 "," $16,061,726.00 "," $16,591,434.00 "," $17,417,678.00 "," $18,385,481.00 ","$19,170,669.00 "
 PENNSYLVANIA STATE ," $2,018,424.00 "," $1,692,273.00 "," $1,692,991.00 "," $1,767,074.00 "," $1,907,019.00 "," $1,860,518.00 "," $2,196,853.00 "," $2,335,538.00 "," $2,607,972.00 "," $2,839,766.00 "," $3,205,340.00 "," $3,475,783.00 "," $3,705,734.00 "," $4,028,387.00 "," $4,761,949.00 "," $5,475,741.00 "," $6,049,795.00 "," $6,419,710.00 "," $6,921,170.00 "," $7,022,206.00 "," $7,715,741.00 "," $7,803,200.00 "," $8,045,636.00 "," $10,193,897.00 "," $11,697,412.00 "," $12,774,600.00 "," $13,032,634.00 "," $13,478,181.00 "," $14,621,826.00 "," $15,407,047.00 "," $15,054,040.00 "," $17,587,527.00 "," $18,088,877.00 "," $18,306,551.00 "," $17,826,123.00 "," $18,494,217.00 "," $17,953,463.00 "," $18,336,588.00 "," $20,111,855.00 "," $20,394,499.00 "," $20,287,723.00 ","$20,419,886.00 "
 PITTSBURGH ," $1,181,683.00 "," $1,219,869.00 "," $1,317,722.00 "," $1,508,077.00 "," $1,446,846.00 "," $1,566,108.00 "," $1,535,284.00 "," $1,730,337.00 "," $1,949,305.00 "," $2,182,612.00 "," $2,259,739.00 "," $2,409,894.00 "," $2,625,854.00 "," $3,136,023.00 "," $3,461,943.00 "," $4,213,361.00 "," $4,639,474.00 "," $5,057,994.00 "," $5,633,177.00 "," $5,705,644.00 "," $6,745,752.00 "," $7,241,766.00 "," $7,510,167.00 "," $7,266,429.00 "," $7,411,328.00 "," $8,241,519.00 "," $9,704,395.00 "," $10,707,737.00 "," $11,063,903.00 "," $11,520,738.00 "," $11,720,010.00 "," $13,070,488.00 "," $13,637,310.00 "," $14,438,533.00 "," $14,857,024.00 "," $14,206,270.00 "," $15,605,569.00 "," $14,358,635.00 "," $14,572,377.00 "," $15,544,964.00 "," $16,617,295.00 ","$16,721,806.00 "
 PRINCETON ," $1,633,644.00 "," $1,644,304.00 "," $1,799,890.00 "," $1,612,961.00 "," $1,978,637.00 "," $2,199,875.00 "," $2,588,531.00 "," $2,648,700.00 "," $2,898,532.00 "," $3,171,448.00 "," $3,296,773.00 "," $3,557,309.00 "," $4,106,344.00 "," $4,740,009.00 "," $5,453,666.00 "," $5,112,262.00 "," $5,848,862.00 "," $6,379,297.00 "," $6,879,097.00 "," $7,480,067.00 "," $7,687,612.00 "," $8,728,953.00 "," $9,782,213.00 "," $9,180,441.00 "," $10,183,164.00 "," $10,637,727.00 "," $9,899,960.00 "," $11,155,366.00 "," $11,819,682.00 "," $12,866,304.00 "," $13,762,081.00 "," $14,230,665.00 "," $16,754,840.00 "," $18,428,119.00 "," $21,197,104.00 "," $21,934,491.00 "," $23,156,840.00 "," $23,505,803.00 "," $23,592,754.00 "," $24,116,273.00 "," $25,837,011.00 ","$26,673,039.00 "
 PURDUE ," $1,037,649.00 "," $991,436.00 "," $1,048,170.00 "," $1,116,378.00 "," $1,152,414.00 "," $1,326,001.00 "," $1,515,934.00 "," $1,630,768.00 "," $1,766,215.00 "," $1,774,764.00 "," $1,904,368.00 "," $2,108,762.00 "," $2,310,469.00 "," $2,685,140.00 "," $2,999,062.00 "," $3,140,710.00 "," $3,286,219.00 "," $3,783,087.00 "," $3,951,095.00 "," $4,005,902.00 "," $3,998,423.00 "," $4,274,152.00 "," $4,883,768.00 "," $5,153,483.00 "," $4,635,650.00 "," $4,721,361.00 "," $5,301,126.00 "," $5,696,270.00 "," $6,014,807.00 "," $6,809,343.00 "," $7,257,363.00 "," $9,542,018.00 "," $10,974,071.00 "," $10,073,561.00 "," $10,580,220.00 "," $11,225,286.00 "," $11,244,162.00 "," $11,477,088.00 "," $12,392,050.00 "," $13,239,165.00 "," $13,428,913.00 ","$14,430,656.00 "
 QUEEN'S , N/A , N/A ," $1,113,844.00 "," $972,703.00 "," $1,020,300.00 "," $1,120,146.00 "," $1,333,000.00 "," $1,365,220.00 "," $1,474,236.00 "," $1,720,700.00 "," $1,895,906.00 "," $1,949,775.00 "," $2,087,415.00 "," $2,368,481.00 "," $3,435,018.00 "," $3,112,587.00 "," $3,456,928.00 "," $3,662,136.00 "," $3,913,233.00 "," $3,598,031.00 "," $3,380,886.00 "," $3,579,930.00 "," $3,880,303.00 "," $3,667,003.00 "," $3,754,926.00 "," $4,281,780.00 "," $4,296,212.00 "," $4,153,853.00 "," $4,862,714.00 "," $5,806,275.00 "," $6,819,127.00 "," $6,767,889.00 "," $7,881,553.87 "," $8,507,863.64 "," $9,543,293.73 "," $8,328,121.20 "," $9,169,622.96 "," $9,778,227.48 "," $9,922,570.49 "," $10,171,839.54 "," $8,921,980.20 ","$9,224,393.05 "
 RICE ," $545,107.00 "," $561,832.00 "," $630,413.00 "," $699,527.00 "," $732,998.00 "," $851,070.00 "," $1,116,784.00 "," $1,267,231.00 "," $1,390,502.00 "," $1,509,483.00 "," $1,544,340.00 "," $1,647,554.00 "," $1,855,008.00 "," $2,035,206.00 "," $2,199,949.00 "," $2,409,243.00 "," $2,308,483.00 "," $2,801,926.00 "," $3,330,809.00 "," $3,431,672.00 "," $3,942,635.00 "," $4,562,526.00 "," $4,710,551.00 "," $5,562,742.00 "," $6,115,613.00 "," $6,794,913.00 "," $6,707,980.00 "," $7,322,507.00 "," $8,774,360.00 "," $8,353,514.00 "," $7,888,236.00 "," $8,878,432.00 "," $9,764,416.00 "," $9,889,566.00 "," $11,128,043.00 "," $10,460,929.00 "," $10,015,546.00 "," $9,927,963.00 "," $9,970,650.00 "," $10,228,658.00 "," $9,946,063.00 ","$11,820,074.00 "
