,1970s: Full data?,1980s: Full data?,1990s: Full data?,2000s: Full data?,2010s: Full data?,1970s,1980s,1990s,2000s,2010s,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-2000,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
 TEMPLE ,1,1,1,1,1,1.7%,10.2%,5.6%,10.1%,-1.0%,-8.4%,5.5%,-3.1%,13.3%,1.0%,13.6%,11.5%,2.3%,-5.8%,5.4%,15.3%,48.8%,-14.6%,26.9%,-1.3%,8.2%,12.5%,13.4%,-3.5%,1.4%,2.6%,18.8%,-8.5%,8.6%,2.6%,21.5%,6.0%,-0.4%,-1.3%,-2.6%,23.3%,19.9%,28.7%,3.1%,2.9%,0.0%,8.4%,-5.6%,-11.9%,7.0%,-3.7%
 TENNESSEE ,1,1,1,1,1,4.2%,8.5%,6.7%,8.1%,4.0%,-3.2%,13.2%,10.0%,-5.2%,6.2%,8.5%,-3.7%,-0.9%,9.7%,0.1%,22.2%,1.5%,3.6%,23.6%,20.2%,3.6%,15.4%,0.3%,15.5%,-3.0%,20.2%,1.3%,4.3%,-0.2%,9.8%,20.0%,9.0%,12.0%,17.3%,-2.0%,6.1%,13.8%,4.5%,1.2%,-0.5%,-1.9%,29.3%,-16.4%,14.2%,0.5%,-1.5%
 TEXAS ,1,1,1,1,1,8.1%,9.6%,6.5%,5.8%,4.3%,-31.8%,87.8%,18.3%,-14.7%,-19.1%,9.9%,56.4%,7.6%,27.9%,4.3%,1.1%,-3.9%,-24.9%,2.7%,14.6%,1.6%,7.4%,1.1%,7.2%,-2.0%,5.2%,5.4%,13.0%,27.9%,-1.4%,8.4%,2.1%,13.1%,-0.3%,3.8%,-0.2%,21.9%,11.3%,-1.3%,-1.1%,-0.2%,0.3%,5.2%,16.4%,-2.0%,6.4%
 TEXAS A&M ,1,1,1,1,1,17.1%,9.8%,8.4%,8.9%,8.4%,5.3%,66.0%,0.3%,-6.7%,20.5%,7.1%,-2.1%,22.2%,4.7%,50.7%,-2.6%,19.4%,1.0%,-5.5%,3.7%,11.7%,7.0%,8.8%,-0.2%,1.3%,9.3%,19.1%,18.1%,17.9%,-9.1%,14.1%,2.7%,9.5%,-0.7%,27.7%,14.1%,-2.6%,10.0%,9.6%,4.5%,3.8%,-2.8%,-6.4%,41.8%,-0.8%,14.9%
 TEXAS TECH ,0,0,0,1,1,N/A,N/A,N/A,6.8%,3.6%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.7%,10.1%,7.4%,7.3%,11.4%,0.2%,6.2%,13.2%,2.5%,7.3%,8.6%,3.9%,3.7%,16.9%,-3.0%,5.0%,0.3%,-1.2%
 TORONTO ,1,1,1,1,1,4.9%,7.6%,7.3%,5.7%,2.6%,-10.3%,22.6%,-19.3%,13.8%,17.8%,-1.7%,8.5%,12.3%,9.1%,2.0%,-4.4%,7.5%,10.6%,17.3%,15.3%,6.9%,5.9%,8.6%,3.4%,4.0%,6.6%,3.6%,26.5%,3.1%,4.1%,4.7%,4.2%,2.8%,4.8%,12.6%,9.5%,8.2%,4.7%,15.0%,-9.7%,15.7%,-0.1%,3.5%,3.2%,3.3%,-9.9%
 TULANE ,1,1,1,1,1,9.8%,14.3%,3.8%,7.2%,5.6%,4.1%,10.7%,6.0%,13.0%,15.1%,33.8%,4.3%,8.6%,58.4%,2.1%,4.6%,8.5%,8.9%,3.1%,11.1%,0.3%,18.7%,-5.9%,11.8%,-1.7%,6.6%,5.6%,-5.8%,-0.3%,8.4%,13.9%,7.7%,11.1%,3.9%,4.3%,0.0%,17.6%,4.8%,1.8%,6.8%,7.2%,5.7%,6.9%,2.8%,9.3%,1.7%
 UTAH ,1,1,1,1,1,4.7%,12.3%,9.3%,0.1%,4.5%,-15.6%,26.6%,-8.6%,19.3%,1.8%,10.5%,0.2%,27.4%,9.5%,13.0%,-7.5%,18.7%,-0.4%,41.6%,9.7%,-5.0%,-16.1%,21.5%,15.8%,28.2%,18.1%,2.0%,6.1%,14.4%,7.9%,-1.2%,4.9%,-9.3%,10.4%,-5.2%,3.2%,0.1%,0.7%,5.8%,-8.3%,-8.0%,13.4%,10.5%,6.1%,-1.6%,7.0%
 VANDERBILT ,0,1,1,1,1,N/A,11.6%,8.6%,4.7%,2.5%,N/A,N/A,N/A,N/A,N/A,N/A,15.2%,16.3%,3.7%,12.2%,16.0%,29.2%,5.1%,16.1%,-9.5%,21.7%,3.7%,4.1%,10.2%,1.4%,7.7%,6.2%,6.8%,12.8%,11.2%,0.7%,8.1%,4.9%,5.1%,6.0%,11.7%,6.1%,5.5%,2.5%,-3.3%,2.2%,8.5%,-4.7%,2.4%,-0.2%,7.0%
 VIRGINIA ,1,1,1,1,1,6.4%,8.0%,5.1%,5.3%,1.6%,-7.5%,-12.6%,16.9%,30.8%,4.5%,20.0%,-15.6%,5.3%,7.2%,7.6%,40.0%,3.3%,7.4%,-2.6%,7.3%,18.1%,-2.8%,-0.8%,3.5%,8.8%,18.5%,0.0%,4.4%,-4.9%,5.6%,4.4%,4.9%,1.0%,-3.4%,14.3%,2.7%,-0.4%,7.5%,24.8%,-2.7%,-21.0%,7.1%,-2.8%,1.8%,10.5%,14.0%
 VIRGINIA TECH ,0,1,1,1,1,N/A,100.7%,5.8%,3.1%,4.8%,N/A,N/A,83.8%,4.4%,5.7%,5.8%,-4.2%,14.4%,-90.7%,1040.8%,11.8%,4.9%,33.7%,-4.7%,-5.0%,11.0%,10.1%,21.5%,-1.7%,4.2%,6.5%,0.7%,9.1%,-3.9%,0.5%,-3.0%,5.9%,11.9%,-8.4%,3.2%,-0.1%,24.4%,3.0%,-7.2%,1.6%,17.8%,-0.2%,3.4%,-0.1%,5.4%,2.4%
 WASHINGTON ,1,1,1,1,1,12.7%,10.4%,8.1%,6.1%,1.6%,19.6%,2.9%,20.5%,-5.2%,25.8%,-0.4%,22.6%,-13.3%,44.4%,-18.2%,32.7%,-18.2%,26.8%,10.0%,17.4%,-6.9%,31.8%,-13.6%,29.7%,-11.2%,31.3%,-1.5%,-1.7%,-3.9%,26.9%,4.1%,-20.2%,22.4%,-23.1%,37.8%,14.0%,-6.6%,28.9%,-8.0%,12.1%,-10.9%,-3.1%,6.3%,7.4%,-2.2%,12.1%
 WASHINGTON STATE ,1,1,1,1,1,8.1%,8.4%,6.3%,2.7%,2.2%,0.3%,23.4%,-7.8%,14.2%,10.2%,5.8%,1.0%,15.6%,35.1%,-6.3%,1.7%,10.2%,4.3%,5.2%,11.1%,3.2%,8.8%,-0.3%,1.0%,3.8%,3.3%,10.1%,10.9%,14.9%,7.0%,9.9%,-2.9%,15.3%,-9.2%,-3.6%,9.5%,-2.3%,14.8%,-0.6%,-4.2%,-3.5%,-9.7%,32.2%,-8.7%,5.9%,-3.2%
 WASHINGTON U.-ST. LOUIS ,1,1,1,1,1,8.2%,9.6%,8.0%,6.3%,3.2%,6.8%,19.4%,0.7%,-2.7%,16.8%,7.3%,15.4%,6.7%,4.7%,15.3%,0.8%,8.1%,22.2%,21.8%,-6.4%,19.4%,15.4%,20.5%,1.8%,4.8%,-6.4%,14.2%,0.4%,8.0%,1.7%,4.2%,10.6%,5.9%,9.6%,-1.0%,7.7%,6.8%,3.5%,13.1%,2.5%,-3.9%,-1.0%,3.6%,14.2%,-4.6%,11.0%
 WATERLOO ,0,0,1,1,1,N/A,N/A,2.1%,7.1%,4.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.8%,-4.7%,-3.6%,18.3%,18.0%,12.6%,11.7%,5.5%,-10.7%,4.7%,-4.8%,4.5%,7.9%,-11.3%,0.8%,26.5%,-7.9%,1.8%,3.5%,34.1%,16.4%,-0.2%,-4.1%,10.2%,-9.3%,19.0%,7.7%,6.2%,3.4%,6.2%,-18.3%
 WAYNE STATE ,1,1,1,1,1,3.4%,13.1%,3.6%,4.4%,1.7%,-2.2%,1.8%,2.0%,7.4%,7.9%,9.8%,-4.3%,-1.9%,18.3%,50.3%,3.0%,24.5%,7.1%,11.5%,12.7%,-1.4%,6.2%,0.8%,-3.5%,18.5%,-4.6%,5.1%,1.0%,7.9%,5.9%,-1.6%,10.1%,9.8%,4.1%,0.2%,8.0%,1.9%,6.8%,7.9%,-3.4%,-1.1%,4.8%,2.7%,1.6%,0.6%,1.4%
 WESTERN ONTARIO ,0,1,1,0,0,N/A,7.8%,3.0%,N/A,N/A,N/A,N/A,21.0%,-3.9%,18.2%,-8.5%,19.2%,-4.3%,12.2%,11.1%,18.3%,-14.5%,3.9%,17.1%,23.5%,12.1%,3.4%,-5.0%,5.8%,-8.8%,4.8%,4.0%,15.7%,-0.4%,-1.8%,18.1%,-0.4%,4.4%,14.6%,10.7%,14.5%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
 WISCONSIN ,1,1,1,1,1,6.8%,101.1%,5.2%,3.9%,1.9%,9.1%,1.8%,-14.5%,19.0%,18.4%,7.3%,1.6%,17.9%,-89.5%,1050.4%,-1.2%,8.6%,15.0%,-4.7%,5.3%,24.1%,13.2%,0.1%,3.2%,-0.8%,12.1%,-1.0%,5.8%,-4.4%,-0.6%,12.6%,-1.3%,0.8%,14.5%,2.1%,3.2%,5.9%,-2.9%,-2.4%,6.7%,-1.6%,-0.4%,4.1%,5.6%,1.4%,2.5%
 YALE ,1,1,1,1,1,4.7%,10.5%,8.4%,8.4%,-5.3%,-8.9%,3.2%,6.9%,12.2%,9.9%,0.5%,7.0%,2.8%,20.0%,6.7%,12.1%,8.7%,20.4%,37.0%,-9.9%,11.9%,9.2%,5.3%,7.2%,4.6%,3.9%,12.1%,10.7%,11.0%,7.7%,8.4%,7.9%,10.4%,9.4%,10.1%,13.5%,8.7%,0.1%,-1.8%,17.3%,-19.9%,-1.6%,19.7%,6.5%,-1.4%,-35.2%
 YORK ,0,1,1,1,1,N/A,9.1%,3.9%,9.5%,0.5%,N/A,N/A,N/A,N/A,N/A,2.8%,14.3%,-1.7%,14.2%,22.0%,-1.8%,3.2%,14.2%,14.2%,9.3%,6.4%,10.3%,12.1%,-7.0%,4.3%,1.8%,3.0%,7.6%,-1.8%,2.5%,16.9%,5.0%,-2.5%,10.4%,23.8%,11.3%,10.5%,4.7%,22.7%,-8.0%,-1.3%,5.6%,15.5%,1.0%,-8.7%,-9.3%
 Total Institutions by Decade ,82,98,107,110,119,14.1%,12.5%,8.9%,5.5%,3.8%,-1.6%,13.8%,18.2%,11.9%,23.6%,7.2%,10.7%,10.7%,9.0%,27.5%,9.9%,10.5%,20.1%,10.0%,7.4%,18.3%,6.0%,4.9%,5.2%,13.4%,5.9%,5.5%,5.9%,5.5%,17.0%,5.9%,6.9%,6.0%,5.1%,7.2%,4.4%,7.1%,5.0%,6.3%,1.0%,0.9%,3.3%,3.7%,3.4%,2.0%,8.5%
